case_number,court_id,alert_type,message,severity
CASE/7921/2024,BIH-BHA-07,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Senior_Citizen] case.,CRITICAL
CASE/2024/2017,BIH-BHA-07,STATUTORY_BREACH,⚠️ Statutory deadline breached for [NDPS] case.,CRITICAL
CASE/6111/2018,BIH-BHA-07,LONG_PENDING,📛 Case pending for 6.0 years [General_Civil].,HIGH
CASE/8942/2023,BIH-BHA-08,CRITICAL_PRIORITY,🔴 Critical priority case [General_Civil] — Immediate attention required. Score: 79.1,CRITICAL
CASE/8942/2023,BIH-BHA-08,STAGE_STAGNATION,🟠 Stagnant in 'Arguments' stage for 443 days.,HIGH
CASE/8942/2023,BIH-BHA-08,LONG_PENDING,📛 Case pending for 9.7 years [General_Civil].,HIGH
CASE/8942/2023,BIH-BHA-08,STATUTORY_BREACH,⚠️ Statutory deadline breached for [General_Civil] case.,CRITICAL
CASE/4516/2015,BIH-BHA-08,CRITICAL_PRIORITY,🔴 Critical priority case [General_Civil] — Immediate attention required. Score: 78.8,CRITICAL
CASE/4516/2015,BIH-BHA-08,STAGE_STAGNATION,🟠 Stagnant in 'Execution' stage for 430 days.,HIGH
CASE/4516/2015,BIH-BHA-08,LONG_PENDING,📛 Case pending for 9.3 years [General_Civil].,HIGH
CASE/4516/2015,BIH-BHA-08,STATUTORY_BREACH,⚠️ Statutory deadline breached for [General_Civil] case.,CRITICAL
CASE/7673/2019,BIH-BHA-08,LONG_PENDING,📛 Case pending for 7.6 years [Senior_Citizen].,HIGH
CASE/7673/2019,BIH-BHA-08,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Senior_Citizen] case.,CRITICAL
CASE/6774/2021,BIH-BHA-08,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Senior_Citizen] case.,CRITICAL
CASE/4279/2020,BIH-BHA-08,LONG_PENDING,📛 Case pending for 7.1 years [General_Criminal].,HIGH
CASE/4279/2020,BIH-BHA-08,STATUTORY_BREACH,⚠️ Statutory deadline breached for [General_Criminal] case.,CRITICAL
CASE/0468/2017,BIH-BHA-08,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Commercial] case.,CRITICAL
CASE/9562/2020,BIH-BHA-08,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Senior_Citizen] case.,CRITICAL
CASE/7775/2015,BIH-BHA-08,STAGE_STAGNATION,🟠 Stagnant in 'Written_Statement' stage for 185 days.,HIGH
CASE/9805/2016,BIH-BHA-09,CRITICAL_PRIORITY,🔴 Critical priority case [General_Criminal] — Immediate attention required. Score: 84.2,CRITICAL
CASE/9805/2016,BIH-BHA-09,UNDERTRIAL_THRESHOLD,🔴 BNSS 479: Undertrial pending 1907 days. Bail eligibility to be reviewed.,CRITICAL
CASE/9805/2016,BIH-BHA-09,LONG_PENDING,📛 Case pending for 5.2 years [General_Criminal].,HIGH
CASE/9805/2016,BIH-BHA-09,STATUTORY_BREACH,⚠️ Statutory deadline breached for [General_Criminal] case.,CRITICAL
CASE/3551/2021,BIH-BHA-09,CRITICAL_PRIORITY,🔴 Critical priority case [Senior_Citizen] — Immediate attention required. Score: 78.9,CRITICAL
CASE/3551/2021,BIH-BHA-09,LONG_PENDING,📛 Case pending for 9.4 years [Senior_Citizen].,HIGH
CASE/3551/2021,BIH-BHA-09,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Senior_Citizen] case.,CRITICAL
CASE/2403/2022,BIH-BHA-09,CRITICAL_PRIORITY,🔴 Critical priority case [Commercial] — Immediate attention required. Score: 76.8,CRITICAL
CASE/2403/2022,BIH-BHA-09,LONG_PENDING,📛 Case pending for 8.9 years [Commercial].,HIGH
CASE/2403/2022,BIH-BHA-09,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Commercial] case.,CRITICAL
CASE/3169/2017,BIH-BHA-09,LONG_PENDING,📛 Case pending for 9.9 years [General_Criminal].,HIGH
CASE/3169/2017,BIH-BHA-09,STATUTORY_BREACH,⚠️ Statutory deadline breached for [General_Criminal] case.,CRITICAL
CASE/5540/2015,BIH-BHA-09,LONG_PENDING,📛 Case pending for 6.8 years [Motor_Accident].,HIGH
CASE/5540/2015,BIH-BHA-09,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Motor_Accident] case.,CRITICAL
CASE/6059/2015,BIH-BHA-09,STATUTORY_BREACH,⚠️ Statutory deadline breached for [SC_ST] case.,CRITICAL
CASE/1863/2020,BIH-BHA-09,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Senior_Citizen] case.,CRITICAL
CASE/9514/2018,BIH-BHA-09,LONG_PENDING,📛 Case pending for 9.0 years [NDPS].,HIGH
CASE/9514/2018,BIH-BHA-09,STATUTORY_BREACH,⚠️ Statutory deadline breached for [NDPS] case.,CRITICAL
CASE/2263/2021,BIH-BHA-09,LONG_PENDING,📛 Case pending for 8.6 years [Matrimonial].,HIGH
CASE/2263/2021,BIH-BHA-09,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Matrimonial] case.,CRITICAL
CASE/8565/2021,BIH-BHA-09,LONG_PENDING,📛 Case pending for 6.4 years [Matrimonial].,HIGH
CASE/8565/2021,BIH-BHA-09,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Matrimonial] case.,CRITICAL
CASE/0981/2018,BIH-BHA-09,STATUTORY_BREACH,⚠️ Statutory deadline breached for [General_Criminal] case.,CRITICAL
CASE/3232/2023,BIH-BHA-10,STATUTORY_BREACH,⚠️ Statutory deadline breached for [SC_ST] case.,CRITICAL
CASE/9686/2019,BIH-BHA-10,STATUTORY_BREACH,⚠️ Statutory deadline breached for [SC_ST] case.,CRITICAL
CASE/7616/2015,BIH-BHA-10,LONG_PENDING,📛 Case pending for 5.7 years [NDPS].,HIGH
CASE/7616/2015,BIH-BHA-10,STATUTORY_BREACH,⚠️ Statutory deadline breached for [NDPS] case.,CRITICAL
CASE/8113/2020,BIH-BHA-10,STATUTORY_BREACH,⚠️ Statutory deadline breached for [POCSO] case.,CRITICAL
CASE/5004/2015,BIH-BHA-10,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Commercial] case.,CRITICAL
CASE/2319/2017,BIH-BHA-10,LONG_PENDING,📛 Case pending for 7.6 years [Property_Dispute].,HIGH
CASE/7500/2021,BIH-BHA-10,LONG_PENDING,📛 Case pending for 5.2 years [Property_Dispute].,HIGH
CASE/4438/2019,BIH-BHA-11,CRITICAL_PRIORITY,🔴 Critical priority case [POCSO] — Immediate attention required. Score: 80.3,CRITICAL
CASE/4438/2019,BIH-BHA-11,LONG_PENDING,📛 Case pending for 9.0 years [POCSO].,HIGH
CASE/4438/2019,BIH-BHA-11,STATUTORY_BREACH,⚠️ Statutory deadline breached for [POCSO] case.,CRITICAL
CASE/5006/2016,BIH-BHA-11,LONG_PENDING,📛 Case pending for 8.5 years [Senior_Citizen].,HIGH
CASE/5006/2016,BIH-BHA-11,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Senior_Citizen] case.,CRITICAL
CASE/1745/2023,BIH-BHA-11,LONG_PENDING,📛 Case pending for 7.1 years [Commercial].,HIGH
CASE/1745/2023,BIH-BHA-11,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Commercial] case.,CRITICAL
CASE/0557/2024,BIH-BHA-11,LONG_PENDING,📛 Case pending for 9.0 years [Matrimonial].,HIGH
CASE/0557/2024,BIH-BHA-11,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Matrimonial] case.,CRITICAL
CASE/3069/2015,BIH-BHA-11,LONG_PENDING,📛 Case pending for 7.1 years [General_Criminal].,HIGH
CASE/3069/2015,BIH-BHA-11,STATUTORY_BREACH,⚠️ Statutory deadline breached for [General_Criminal] case.,CRITICAL
CASE/0167/2019,BIH-BHA-11,LONG_PENDING,📛 Case pending for 6.9 years [Motor_Accident].,HIGH
CASE/0167/2019,BIH-BHA-11,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Motor_Accident] case.,CRITICAL
CASE/4356/2023,BIH-BHA-12,CRITICAL_PRIORITY,🔴 Critical priority case [POCSO] — Immediate attention required. Score: 80.8,CRITICAL
CASE/4356/2023,BIH-BHA-12,LONG_PENDING,📛 Case pending for 9.6 years [POCSO].,HIGH
CASE/4356/2023,BIH-BHA-12,STATUTORY_BREACH,⚠️ Statutory deadline breached for [POCSO] case.,CRITICAL
CASE/5674/2015,BIH-BHA-12,CRITICAL_PRIORITY,🔴 Critical priority case [SC_ST] — Immediate attention required. Score: 78.4,CRITICAL
CASE/5674/2015,BIH-BHA-12,LONG_PENDING,📛 Case pending for 7.3 years [SC_ST].,HIGH
CASE/5674/2015,BIH-BHA-12,STATUTORY_BREACH,⚠️ Statutory deadline breached for [SC_ST] case.,CRITICAL
CASE/8189/2022,BIH-BHA-12,LONG_PENDING,📛 Case pending for 9.7 years [POCSO].,HIGH
CASE/8189/2022,BIH-BHA-12,STATUTORY_BREACH,⚠️ Statutory deadline breached for [POCSO] case.,CRITICAL
CASE/7899/2024,BIH-BHA-12,LONG_PENDING,📛 Case pending for 9.9 years [Matrimonial].,HIGH
CASE/7899/2024,BIH-BHA-12,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Matrimonial] case.,CRITICAL
CASE/5922/2016,BIH-BHA-12,LONG_PENDING,📛 Case pending for 7.7 years [POCSO].,HIGH
CASE/5922/2016,BIH-BHA-12,STATUTORY_BREACH,⚠️ Statutory deadline breached for [POCSO] case.,CRITICAL
CASE/2705/2022,BIH-BHA-12,LONG_PENDING,📛 Case pending for 5.5 years [POCSO].,HIGH
CASE/2705/2022,BIH-BHA-12,STATUTORY_BREACH,⚠️ Statutory deadline breached for [POCSO] case.,CRITICAL
CASE/4386/2023,BIH-BHA-12,LONG_PENDING,📛 Case pending for 7.8 years [General_Civil].,HIGH
CASE/4386/2023,BIH-BHA-12,STATUTORY_BREACH,⚠️ Statutory deadline breached for [General_Civil] case.,CRITICAL
CASE/8082/2017,BIH-BHA-12,LONG_PENDING,📛 Case pending for 9.8 years [General_Civil].,HIGH
CASE/8082/2017,BIH-BHA-12,STATUTORY_BREACH,⚠️ Statutory deadline breached for [General_Civil] case.,CRITICAL
CASE/6637/2018,BIH-BHA-12,LONG_PENDING,📛 Case pending for 9.7 years [General_Civil].,HIGH
CASE/6637/2018,BIH-BHA-12,STATUTORY_BREACH,⚠️ Statutory deadline breached for [General_Civil] case.,CRITICAL
CASE/1163/2015,BIH-BHA-12,LONG_PENDING,📛 Case pending for 8.5 years [General_Civil].,HIGH
CASE/1163/2015,BIH-BHA-12,STATUTORY_BREACH,⚠️ Statutory deadline breached for [General_Civil] case.,CRITICAL
CASE/5270/2021,BIH-BHA-12,LONG_PENDING,📛 Case pending for 7.0 years [General_Criminal].,HIGH
CASE/5270/2021,BIH-BHA-12,STATUTORY_BREACH,⚠️ Statutory deadline breached for [General_Criminal] case.,CRITICAL
CASE/1392/2024,BIH-BHA-12,LONG_PENDING,📛 Case pending for 8.9 years [Property_Dispute].,HIGH
CASE/1392/2024,BIH-BHA-12,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Property_Dispute] case.,CRITICAL
CASE/6001/2018,BIH-BHA-12,LONG_PENDING,📛 Case pending for 8.0 years [Property_Dispute].,HIGH
CASE/6039/2019,BIH-BHA-12,STAGE_STAGNATION,🟠 Stagnant in 'Arguments' stage for 215 days.,HIGH
CASE/7312/2015,BIH-BHA-13,CRITICAL_PRIORITY,🔴 Critical priority case [General_Criminal] — Immediate attention required. Score: 78.8,CRITICAL
CASE/7312/2015,BIH-BHA-13,UNDERTRIAL_THRESHOLD,🔴 BNSS 479: Undertrial pending 2536 days. Bail eligibility to be reviewed.,CRITICAL
CASE/7312/2015,BIH-BHA-13,LONG_PENDING,📛 Case pending for 6.9 years [General_Criminal].,HIGH
CASE/7312/2015,BIH-BHA-13,STATUTORY_BREACH,⚠️ Statutory deadline breached for [General_Criminal] case.,CRITICAL
CASE/3054/2021,BIH-BHA-13,LONG_PENDING,📛 Case pending for 8.9 years [NDPS].,HIGH
CASE/3054/2021,BIH-BHA-13,STATUTORY_BREACH,⚠️ Statutory deadline breached for [NDPS] case.,CRITICAL
CASE/8975/2016,BIH-BHA-13,LONG_PENDING,📛 Case pending for 6.7 years [SC_ST].,HIGH
CASE/8975/2016,BIH-BHA-13,STATUTORY_BREACH,⚠️ Statutory deadline breached for [SC_ST] case.,CRITICAL
CASE/0510/2017,BIH-BHA-13,LONG_PENDING,📛 Case pending for 9.1 years [Commercial].,HIGH
CASE/0510/2017,BIH-BHA-13,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Commercial] case.,CRITICAL
