case_number,court_id,state,district,case_category,case_type,current_stage,case_age_days,priority_score,priority_label,priority_emoji,disposal_days,legal_urgency_score,delay_risk_score,urgency_flags
CASE/3473/2023,DEL-CEN-15,Delhi,Central,NDPS,Criminal,Execution,3435,87.31,Critical,🔴,57,65.0,100.0,⚠️ STATUTORY DEADLINE BREACHED (3435d > 1095d); 🔴 BNSS 479: Undertrial exceeds 1/3 max sentence (3435d ≥ 1216d); 📛 Aged case: 9+ years pending
CASE/3655/2022,BIH-PAT-18,Bihar,Patna,General_Criminal,Criminal,Execution,3360,87.15,Critical,🔴,56,65.0,100.0,⚠️ STATUTORY DEADLINE BREACHED (3360d > 730d); 🔴 BNSS 479: Undertrial exceeds 1/3 max sentence (3360d ≥ 608d); 📛 Aged case: 9+ years pending
CASE/4640/2024,MAD-BHO-07,Madhya Pradesh,Bhopal,NDPS,Criminal,Execution,3273,86.98,Critical,🔴,54,65.0,100.0,⚠️ STATUTORY DEADLINE BREACHED (3273d > 1095d); 🔴 BNSS 479: Undertrial exceeds 1/3 max sentence (3273d ≥ 1216d); 📛 Aged case: 8+ years pending
CASE/4132/2015,WES-DUR-12,West Bengal,Durgapur,General_Criminal,Criminal,Arguments,3246,86.92,Critical,🔴,51,65.0,100.0,⚠️ STATUTORY DEADLINE BREACHED (3246d > 730d); 🔴 BNSS 479: Undertrial exceeds 1/3 max sentence (3246d ≥ 608d); 📛 Aged case: 8+ years pending
CASE/9450/2016,GUJ-RAJ-18,Gujarat,Rajkot,General_Criminal,Criminal,Execution,3248,86.92,Critical,🔴,54,65.0,100.0,⚠️ STATUTORY DEADLINE BREACHED (3248d > 730d); 🔴 BNSS 479: Undertrial exceeds 1/3 max sentence (3248d ≥ 608d); 📛 Aged case: 8+ years pending
CASE/3269/2016,WES-KOL-12,West Bengal,Kolkata,NDPS,Criminal,Execution,3238,86.9,Critical,🔴,57,65.0,100.0,⚠️ STATUTORY DEADLINE BREACHED (3238d > 1095d); 🔴 BNSS 479: Undertrial exceeds 1/3 max sentence (3238d ≥ 1216d); 📛 Aged case: 8+ years pending
CASE/0481/2022,UTT-LUC-08,Uttar Pradesh,Lucknow,NDPS,Criminal,Arguments,3224,86.87,Critical,🔴,56,65.0,100.0,⚠️ STATUTORY DEADLINE BREACHED (3224d > 1095d); 🔴 BNSS 479: Undertrial exceeds 1/3 max sentence (3224d ≥ 1216d); 📛 Aged case: 8+ years pending
CASE/7884/2019,KAR-BEN-15,Karnataka,Bengaluru,General_Criminal,Criminal,Arguments,3194,86.81,Critical,🔴,50,65.0,100.0,⚠️ STATUTORY DEADLINE BREACHED (3194d > 730d); 🔴 BNSS 479: Undertrial exceeds 1/3 max sentence (3194d ≥ 608d); 📛 Aged case: 8+ years pending
CASE/9661/2024,MAH-MUM-06,Maharashtra,Mumbai,General_Criminal,Criminal,Arguments,3121,86.66,Critical,🔴,52,65.0,100.0,⚠️ STATUTORY DEADLINE BREACHED (3121d > 730d); 🔴 BNSS 479: Undertrial exceeds 1/3 max sentence (3121d ≥ 608d); 📛 Aged case: 8+ years pending
CASE/5219/2015,RAJ-JOD-02,Rajasthan,Jodhpur,NDPS,Criminal,Execution,3017,86.45,Critical,🔴,58,65.0,100.0,⚠️ STATUTORY DEADLINE BREACHED (3017d > 1095d); 🔴 BNSS 479: Undertrial exceeds 1/3 max sentence (3017d ≥ 1216d); 📛 Aged case: 8+ years pending
